ITEM_ID,GRAPH_ID,SENTENCE,PRED_HEAD_IDX,ARG_HEAD_IDX,LABEL
ewt-train-64_2_4,ewt-train-64,"Azzaman newspaper mentioned an announcement signed by Abdul Aziz bin Muqrin , an Al - Qaeda operative in Saudi Arabia on an Islamic website ' the voice of Jihad ' , in which he stated that "" although mutilating dead bodies is not originally permitted in Islam , but in this case it is allowed if Muslims use it against infidels to deter them from committing criminal actions "" .",2,4,0
ewt-train-64_34_33,ewt-train-64,"Azzaman newspaper mentioned an announcement signed by Abdul Aziz bin Muqrin , an Al - Qaeda operative in Saudi Arabia on an Islamic website ' the voice of Jihad ' , in which he stated that "" although mutilating dead bodies is not originally permitted in Islam , but in this case it is allowed if Muslims use it against infidels to deter them from committing criminal actions "" .",34,33,0
ewt-train-64_38_40,ewt-train-64,"Azzaman newspaper mentioned an announcement signed by Abdul Aziz bin Muqrin , an Al - Qaeda operative in Saudi Arabia on an Islamic website ' the voice of Jihad ' , in which he stated that "" although mutilating dead bodies is not originally permitted in Islam , but in this case it is allowed if Muslims use it against infidels to deter them from committing criminal actions "" .",38,40,0
ewt-train-64_54_52,ewt-train-64,"Azzaman newspaper mentioned an announcement signed by Abdul Aziz bin Muqrin , an Al - Qaeda operative in Saudi Arabia on an Islamic website ' the voice of Jihad ' , in which he stated that "" although mutilating dead bodies is not originally permitted in Islam , but in this case it is allowed if Muslims use it against infidels to deter them from committing criminal actions "" .",54,52,0
ewt-train-64_65_67,ewt-train-64,"Azzaman newspaper mentioned an announcement signed by Abdul Aziz bin Muqrin , an Al - Qaeda operative in Saudi Arabia on an Islamic website ' the voice of Jihad ' , in which he stated that "" although mutilating dead bodies is not originally permitted in Islam , but in this case it is allowed if Muslims use it against infidels to deter them from committing criminal actions "" .",65,67,0
ewt-train-65_1_0,ewt-train-65,"He added that "" America does not understand anything except the language of force and retaliation , they were kicked out of Somalia in humiliation after that soldier was dragged in Mogadishu for the whole world to see "" , and that "" the day will come when the dead bodies of Americans and Jews would be dragged , defiled , and stepped on in the Arabian peninsula together with their agents and supporters "" .",1,0,0
ewt-train-65_7_4,ewt-train-65,"He added that "" America does not understand anything except the language of force and retaliation , they were kicked out of Somalia in humiliation after that soldier was dragged in Mogadishu for the whole world to see "" , and that "" the day will come when the dead bodies of Americans and Jews would be dragged , defiled , and stepped on in the Arabian peninsula together with their agents and supporters "" .",7,4,0
ewt-train-65_7_8,ewt-train-65,"He added that "" America does not understand anything except the language of force and retaliation , they were kicked out of Somalia in humiliation after that soldier was dragged in Mogadishu for the whole world to see "" , and that "" the day will come when the dead bodies of Americans and Jews would be dragged , defiled , and stepped on in the Arabian peninsula together with their agents and supporters "" .",7,8,0
ewt-train-65_57_50,ewt-train-65,"He added that "" America does not understand anything except the language of force and retaliation , they were kicked out of Somalia in humiliation after that soldier was dragged in Mogadishu for the whole world to see "" , and that "" the day will come when the dead bodies of Americans and Jews would be dragged , defiled , and stepped on in the Arabian peninsula together with their agents and supporters "" .",57,50,0
ewt-train-67_2_0,ewt-train-67,"We all know what happened , but even to this day , there are many different versions and opinions on how it happened and what effect Chernobyl will have on the health of people affected by the fallout .",2,0,0
ewt-train-67_4_3,ewt-train-67,"We all know what happened , but even to this day , there are many different versions and opinions on how it happened and what effect Chernobyl will have on the health of people affected by the fallout .",4,3,0
ewt-train-74_9_0,ewt-train-74,"One of the most widespread myths of recent times is that the Chernobyl nuclear reactor accident in 1986 caused many thousands of extra cancer deaths in neighbouring regions , and that public health has been severely affected by exposure to radiation .",9,0,0
ewt-train-74_18_15,ewt-train-74,"One of the most widespread myths of recent times is that the Chernobyl nuclear reactor accident in 1986 caused many thousands of extra cancer deaths in neighbouring regions , and that public health has been severely affected by exposure to radiation .",18,15,0
ewt-train-74_18_20,ewt-train-74,"One of the most widespread myths of recent times is that the Chernobyl nuclear reactor accident in 1986 caused many thousands of extra cancer deaths in neighbouring regions , and that public health has been severely affected by exposure to radiation .",18,20,0
ewt-train-78_9_2,ewt-train-78,The prestigious IAEA ( International Atomic Energy Agency ) published an early report on Chernobyl which was based on information from Russian sources and stated that there was no significant health effects .,9,2,0
ewt-train-78_9_12,ewt-train-78,The prestigious IAEA ( International Atomic Energy Agency ) published an early report on Chernobyl which was based on information from Russian sources and stated that there was no significant health effects .,9,12,0
ewt-train-78_17_12,ewt-train-78,The prestigious IAEA ( International Atomic Energy Agency ) published an early report on Chernobyl which was based on information from Russian sources and stated that there was no significant health effects .,17,12,0
ewt-train-81_24_2,ewt-train-81,"The dramatic increase in radiation - induced thyroid cancers in children and adolescents in Belarus , Russia , and Ukraine , which have been observed since 1991 , continues to this day .",24,2,0
ewt-train-81_28_2,ewt-train-81,"The dramatic increase in radiation - induced thyroid cancers in children and adolescents in Belarus , Russia , and Ukraine , which have been observed since 1991 , continues to this day .",28,2,0
ewt-train-83_33_1,ewt-train-83,"The dynamics of change in the state of health of children affected by the Chernobyl accident in all three countries - Belarus , Russia , and Ukraine - in the post-accident period is characterized by persistent negative tendencies : the morbidity rate is going up , the number of really healthy children is dropping , and disability is increasing .",33,1,0
ewt-train-83_53_47,ewt-train-83,"The dynamics of change in the state of health of children affected by the Chernobyl accident in all three countries - Belarus , Russia , and Ukraine - in the post-accident period is characterized by persistent negative tendencies : the morbidity rate is going up , the number of really healthy children is dropping , and disability is increasing .",53,47,0
ewt-train-83_58_56,ewt-train-83,"The dynamics of change in the state of health of children affected by the Chernobyl accident in all three countries - Belarus , Russia , and Ukraine - in the post-accident period is characterized by persistent negative tendencies : the morbidity rate is going up , the number of really healthy children is dropping , and disability is increasing .",58,56,0
ewt-train-85_1_3,ewt-train-85,There is a lot to learn about Chernobyl .,1,3,0
ewt-train-87_1_3,ewt-train-87,There are a wealth of references on Chernobyl .,1,3,0
ewt-train-89_2_1,ewt-train-89,These links present the many viewpoints that existed and still exist about the disaster called Chernobyl :,2,1,0
ewt-train-89_2_5,ewt-train-89,These links present the many viewpoints that existed and still exist about the disaster called Chernobyl :,2,5,0
ewt-train-89_7_5,ewt-train-89,These links present the many viewpoints that existed and still exist about the disaster called Chernobyl :,7,5,0
ewt-train-118_7_6,ewt-train-118,As a child in the 50's I had a lot of glandular problems and they treated it with radiation therapy ( primitive at best ! ) and stopped when a lesion on my neck started enlarging -- they said it was not CA but stopped the treatments ....,7,6,0
ewt-train-118_7_9,ewt-train-118,As a child in the 50's I had a lot of glandular problems and they treated it with radiation therapy ( primitive at best ! ) and stopped when a lesion on my neck started enlarging -- they said it was not CA but stopped the treatments ....,7,9,0
ewt-train-118_15_14,ewt-train-118,As a child in the 50's I had a lot of glandular problems and they treated it with radiation therapy ( primitive at best ! ) and stopped when a lesion on my neck started enlarging -- they said it was not CA but stopped the treatments ....,15,14,0
ewt-train-118_15_16,ewt-train-118,As a child in the 50's I had a lot of glandular problems and they treated it with radiation therapy ( primitive at best ! ) and stopped when a lesion on my neck started enlarging -- they said it was not CA but stopped the treatments ....,15,16,0
ewt-train-118_34_30,ewt-train-118,As a child in the 50's I had a lot of glandular problems and they treated it with radiation therapy ( primitive at best ! ) and stopped when a lesion on my neck started enlarging -- they said it was not CA but stopped the treatments ....,34,30,0
ewt-train-118_44_46,ewt-train-118,As a child in the 50's I had a lot of glandular problems and they treated it with radiation therapy ( primitive at best ! ) and stopped when a lesion on my neck started enlarging -- they said it was not CA but stopped the treatments ....,44,46,0
ewt-train-122_8_4,ewt-train-122,The Chernobyl Children 's Project ( http://www.adiccp.org/home/default.asp ) offers several ways to help the children of that region .,8,4,0
ewt-train-122_8_10,ewt-train-122,The Chernobyl Children 's Project ( http://www.adiccp.org/home/default.asp ) offers several ways to help the children of that region .,8,10,0
ewt-train-125_3_0,ewt-train-125,S. and I have an acquaintance who has hosted several of these children for many years ; to see these little ones breaks the heart .,3,0,0
ewt-train-125_3_5,ewt-train-125,S. and I have an acquaintance who has hosted several of these children for many years ; to see these little ones breaks the heart .,3,5,0
ewt-train-125_8_5,ewt-train-125,S. and I have an acquaintance who has hosted several of these children for many years ; to see these little ones breaks the heart .,8,5,0
ewt-train-125_8_9,ewt-train-125,S. and I have an acquaintance who has hosted several of these children for many years ; to see these little ones breaks the heart .,8,9,0
ewt-train-125_22_24,ewt-train-125,S. and I have an acquaintance who has hosted several of these children for many years ; to see these little ones breaks the heart .,22,24,0
ewt-train-132_1_0,ewt-train-132,"These are 1 ) Assassinate or overthrow Gen. Pervez Musharraf , the Pakistani military "" president "" who had made a coup in 1999 and has thrown in his lot with the United States against the Taliban and al - Qaeda .",1,0,0
ewt-train-132_4_9,ewt-train-132,"These are 1 ) Assassinate or overthrow Gen. Pervez Musharraf , the Pakistani military "" president "" who had made a coup in 1999 and has thrown in his lot with the United States against the Taliban and al - Qaeda .",4,9,0
ewt-train-132_26_29,ewt-train-132,"These are 1 ) Assassinate or overthrow Gen. Pervez Musharraf , the Pakistani military "" president "" who had made a coup in 1999 and has thrown in his lot with the United States against the Taliban and al - Qaeda .",26,29,0
ewt-train-135_1_0,ewt-train-135,"Musharraf held elections in October of 2002 , in which center - right parties did well , but in which nearly 20 percent of parliament seats went to the fundamentalist religious party coalition , MMA .",1,0,0
ewt-train-135_1_2,ewt-train-135,"Musharraf held elections in October of 2002 , in which center - right parties did well , but in which nearly 20 percent of parliament seats went to the fundamentalist religious party coalition , MMA .",1,2,0
ewt-train-145_3_2,ewt-train-145,Al - Zawahiri attempted to use Musharraf 's lack of progress in helping the Muslims of that Indian state as a justification for his overthrow .,3,2,0
ewt-train-146_3_2,ewt-train-146,"The Kashmir issue generates far more terrorism , and even the threat of nuclear war , than Iraq ever did .",3,2,0
ewt-train-146_3_6,ewt-train-146,"The Kashmir issue generates far more terrorism , and even the threat of nuclear war , than Iraq ever did .",3,6,0
ewt-train-153_1_0,ewt-train-153,"Israel owes the United States at least this much , in this crisis , to cease militarily unnecessary provocations and establish genuine peace .",1,0,0
ewt-train-153_1_4,ewt-train-153,"Israel owes the United States at least this much , in this crisis , to cease militarily unnecessary provocations and establish genuine peace .",1,4,0
ewt-train-153_1_8,ewt-train-153,"Israel owes the United States at least this much , in this crisis , to cease militarily unnecessary provocations and establish genuine peace .",1,8,0
ewt-train-153_15_18,ewt-train-153,"Israel owes the United States at least this much , in this crisis , to cease militarily unnecessary provocations and establish genuine peace .",15,18,0
ewt-train-153_20_22,ewt-train-153,"Israel owes the United States at least this much , in this crisis , to cease militarily unnecessary provocations and establish genuine peace .",20,22,0
ewt-train-159_2_1,ewt-train-159,The Americans have to put away their free - market fetishism for a while and find ways of creating jobs and pumping money into Iraqi households .,2,1,0
ewt-train-159_18_19,ewt-train-159,The Americans have to put away their free - market fetishism for a while and find ways of creating jobs and pumping money into Iraqi households .,18,19,0
ewt-train-159_21_22,ewt-train-159,The Americans have to put away their free - market fetishism for a while and find ways of creating jobs and pumping money into Iraqi households .,21,22,0
ewt-train-160_1_0,ewt-train-160,"We need an FDR in Iraq , not a Ronald Reagan .",1,0,0
ewt-train-160_1_3,ewt-train-160,"We need an FDR in Iraq , not a Ronald Reagan .",1,3,0
ewt-train-160_1_10,ewt-train-160,"We need an FDR in Iraq , not a Ronald Reagan .",1,10,0
ewt-train-163_6_1,ewt-train-163,"The thing to keep in mind is that Sunni Arab nationalists and Baathists and local Sunni radicals are likely to remain far more dangerous to the US in Iraq than al - Qaeda infiltrators , and it would be dangerous to take one 's eyes off the former ball .",6,1,0
ewt-train-164_3_2,ewt-train-164,George W. Bush alleged Thursday that John Edwards lacks the experience necessary to be president .,3,2,0
ewt-train-164_8_7,ewt-train-164,George W. Bush alleged Thursday that John Edwards lacks the experience necessary to be president .,8,7,0
ewt-train-164_8_10,ewt-train-164,George W. Bush alleged Thursday that John Edwards lacks the experience necessary to be president .,8,10,0
ewt-train-165_5_1,ewt-train-165,"The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000 , so this sort of cheap shot just hoists him by his own petard .",5,1,0
ewt-train-165_8_7,ewt-train-165,"The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000 , so this sort of cheap shot just hoists him by his own petard .",8,7,0
ewt-train-165_8_10,ewt-train-165,"The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000 , so this sort of cheap shot just hoists him by his own petard .",8,10,0
ewt-train-165_17_16,ewt-train-165,"The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000 , so this sort of cheap shot just hoists him by his own petard .",17,16,0
ewt-train-165_28_23,ewt-train-165,"The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000 , so this sort of cheap shot just hoists him by his own petard .",28,23,0
ewt-train-165_28_29,ewt-train-165,"The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000 , so this sort of cheap shot just hoists him by his own petard .",28,29,0
ewt-train-167_2_1,ewt-train-167,' Bush fails reporter 's pop quiz on international leaders,2,1,0
ewt-train-167_2_6,ewt-train-167,' Bush fails reporter 's pop quiz on international leaders,2,6,0
ewt-train-174_1_0,ewt-train-174,"Hiller asked Bush to name the leaders of Chechnya , Taiwan , India and Pakistan .",1,0,0
ewt-train-174_1_2,ewt-train-174,"Hiller asked Bush to name the leaders of Chechnya , Taiwan , India and Pakistan .",1,2,0
ewt-train-174_4_6,ewt-train-174,"Hiller asked Bush to name the leaders of Chechnya , Taiwan , India and Pakistan .",4,6,0
ewt-train-178_1_0,ewt-train-178,"Hiller asked , inquiring about Gen. Pervaiz Musharraf , who seized control of the country October 12 .",1,0,0
ewt-train-178_10_7,ewt-train-178,"Hiller asked , inquiring about Gen. Pervaiz Musharraf , who seized control of the country October 12 .",10,7,0
ewt-train-178_10_11,ewt-train-178,"Hiller asked , inquiring about Gen. Pervaiz Musharraf , who seized control of the country October 12 .",10,11,0
ewt-train-179_11_12,ewt-train-179,""" Wait , wait , is this 50 questions ? "" asked Bush .",11,12,0
ewt-train-180_1_0,ewt-train-180,"Hiller replied : "" No , it 's four questions of four leaders in four hot spots . "" . . .",1,0,0
ewt-train-183_1_0,ewt-train-183,Gore released a statement Friday taking Bush to task for his comments on Pakistan 's recent coup .,1,0,0
ewt-train-183_1_3,ewt-train-183,Gore released a statement Friday taking Bush to task for his comments on Pakistan 's recent coup .,1,3,0
ewt-train-184_21_7,ewt-train-184,""" I find it troubling that a candidate for president in our country -- the world 's oldest democracy -- would characterize the military takeover as "" good news , "" Gore said .",21,7,0
ewt-train-184_21_24,ewt-train-184,""" I find it troubling that a candidate for president in our country -- the world 's oldest democracy -- would characterize the military takeover as "" good news , "" Gore said .",21,24,0
ewt-train-184_32_31,ewt-train-184,""" I find it troubling that a candidate for president in our country -- the world 's oldest democracy -- would characterize the military takeover as "" good news , "" Gore said .",32,31,0
ewt-train-187_9_7,ewt-train-187,""" It is very dangerous for this country to condone the overthrow of democratically elected governments , "" said David Leavy , spokesman for the National Security Council .",9,7,0
ewt-train-187_9_11,ewt-train-187,""" It is very dangerous for this country to condone the overthrow of democratically elected governments , "" said David Leavy , spokesman for the National Security Council .",9,11,0
ewt-train-187_18_20,ewt-train-187,""" It is very dangerous for this country to condone the overthrow of democratically elected governments , "" said David Leavy , spokesman for the National Security Council .",18,20,0
ewt-train-188_13_12,ewt-train-188,"Not only did Bush not know who General Pervez Musharraf was , he seems to have confused coup - making with "" taking office , "" and moreover went on to suggest that the overthrow of an elected prime minister and the installation in power of the Pakistan military , then the world 's strongest supporter of the Taliban , would bring "" stability ! """,13,12,0
ewt-train-188_16_19,ewt-train-188,"Not only did Bush not know who General Pervez Musharraf was , he seems to have confused coup - making with "" taking office , "" and moreover went on to suggest that the overthrow of an elected prime minister and the installation in power of the Pakistan military , then the world 's strongest supporter of the Taliban , would bring "" stability ! """,16,19,0
ewt-train-188_61_34,ewt-train-188,"Not only did Bush not know who General Pervez Musharraf was , he seems to have confused coup - making with "" taking office , "" and moreover went on to suggest that the overthrow of an elected prime minister and the installation in power of the Pakistan military , then the world 's strongest supporter of the Taliban , would bring "" stability ! """,61,34,0
ewt-train-188_61_63,ewt-train-188,"Not only did Bush not know who General Pervez Musharraf was , he seems to have confused coup - making with "" taking office , "" and moreover went on to suggest that the overthrow of an elected prime minister and the installation in power of the Pakistan military , then the world 's strongest supporter of the Taliban , would bring "" stability ! """,61,63,0
ewt-train-200_2_1,ewt-train-200,Another answer is that Edwards certainly knows far more about foreign affairs now than Bush did then .,2,1,0
ewt-train-202_1_0,ewt-train-202,"This is what Edwards ' campaign literature said about his positions : "" Edwards believes that the U.S. must be an active leader to help resolve conflicts , from reducing tensions between India and Pakistan to the peace process in Northern Ireland .",1,0,0
ewt-train-202_14_13,ewt-train-202,"This is what Edwards ' campaign literature said about his positions : "" Edwards believes that the U.S. must be an active leader to help resolve conflicts , from reducing tensions between India and Pakistan to the peace process in Northern Ireland .",14,13,0
ewt-train-202_25_26,ewt-train-202,"This is what Edwards ' campaign literature said about his positions : "" Edwards believes that the U.S. must be an active leader to help resolve conflicts , from reducing tensions between India and Pakistan to the peace process in Northern Ireland .",25,26,0
ewt-train-202_29_30,ewt-train-202,"This is what Edwards ' campaign literature said about his positions : "" Edwards believes that the U.S. must be an active leader to help resolve conflicts , from reducing tensions between India and Pakistan to the peace process in Northern Ireland .",29,30,0
ewt-train-216_2_0,ewt-train-216,"It is estimated to have some 5,000 armed fighters , and they have pursued attacks against Israeli forces to compel them to withdraw from the Shebaa Farms , a sliver of Syrian territory that Israel annexed after the 1967 war .",2,0,0
ewt-train-216_13_11,ewt-train-216,"It is estimated to have some 5,000 armed fighters , and they have pursued attacks against Israeli forces to compel them to withdraw from the Shebaa Farms , a sliver of Syrian territory that Israel annexed after the 1967 war .",13,11,0
ewt-train-216_13_14,ewt-train-216,"It is estimated to have some 5,000 armed fighters , and they have pursued attacks against Israeli forces to compel them to withdraw from the Shebaa Farms , a sliver of Syrian territory that Israel annexed after the 1967 war .",13,14,0
ewt-train-216_35_29,ewt-train-216,"It is estimated to have some 5,000 armed fighters , and they have pursued attacks against Israeli forces to compel them to withdraw from the Shebaa Farms , a sliver of Syrian territory that Israel annexed after the 1967 war .",35,29,0
ewt-train-216_35_34,ewt-train-216,"It is estimated to have some 5,000 armed fighters , and they have pursued attacks against Israeli forces to compel them to withdraw from the Shebaa Farms , a sliver of Syrian territory that Israel annexed after the 1967 war .",35,34,0
ewt-train-223_6_5,ewt-train-223,"By the late 1990s , Iraq had no nuclear or biological weapons program , and had destroyed its chemical weapons stockpiles .",6,5,0
ewt-train-223_6_12,ewt-train-223,"By the late 1990s , Iraq had no nuclear or biological weapons program , and had destroyed its chemical weapons stockpiles .",6,12,0
ewt-train-223_16_20,ewt-train-223,"By the late 1990s , Iraq had no nuclear or biological weapons program , and had destroyed its chemical weapons stockpiles .",16,20,0
ewt-train-226_9_1,ewt-train-226,The bungling of post-war Iraq by the Bush administration created a weak and failed state .,9,1,0
ewt-train-228_2_1,ewt-train-228,"The US chose to ally itself with such groups as the Supreme Council for the Islamic Revolution in Iraq , whose 15,000 - strong Badr Corps paramilitary was trained by the Iranian Revolutionary Guards .",2,1,0
ewt-train-228_4_5,ewt-train-228,"The US chose to ally itself with such groups as the Supreme Council for the Islamic Revolution in Iraq , whose 15,000 - strong Badr Corps paramilitary was trained by the Iranian Revolutionary Guards .",4,5,0
ewt-train-228_28_26,ewt-train-228,"The US chose to ally itself with such groups as the Supreme Council for the Islamic Revolution in Iraq , whose 15,000 - strong Badr Corps paramilitary was trained by the Iranian Revolutionary Guards .",28,26,0
ewt-train-248_3_2,ewt-train-248,THE DAILY STAR publishes this commentary in agreement with Agence Global,3,2,0
ewt-train-248_3_5,ewt-train-248,THE DAILY STAR publishes this commentary in agreement with Agence Global,3,5,0
ewt-train-249_1_0,ewt-train-249,Tamils feel that the proposed defense agreement between India and Sri Lanka would encourage Sinhala rulers to prepare for another war abandoning the current peace process,1,0,0
ewt-train-249_13_6,ewt-train-249,Tamils feel that the proposed defense agreement between India and Sri Lanka would encourage Sinhala rulers to prepare for another war abandoning the current peace process,13,6,0
ewt-train-249_13_15,ewt-train-249,Tamils feel that the proposed defense agreement between India and Sri Lanka would encourage Sinhala rulers to prepare for another war abandoning the current peace process,13,15,0
ewt-train-249_21_25,ewt-train-249,Tamils feel that the proposed defense agreement between India and Sri Lanka would encourage Sinhala rulers to prepare for another war abandoning the current peace process,21,25,0
ewt-train-250_2_4,ewt-train-250,But there are strong hints in the country that a new Indo - Sri Lanka defense deal could be in the making .,2,4,0
ewt-train-257_2_1,ewt-train-257,And that explains the delay in the signing of a formal defense agreement that was at the heart of Sri Lankan President Chandrika Kumaratunga 's four - day visit to India recently .,2,1,0
ewt-train-257_2_4,ewt-train-257,And that explains the delay in the signing of a formal defense agreement that was at the heart of Sri Lankan President Chandrika Kumaratunga 's four - day visit to India recently .,2,4,0
ewt-train-258_35_21,ewt-train-258,"According to Professor S D Muni , South Asia expert at the Jawaharal Nehru University , the two - year peace talks between Colombo and the Liberation Tigers of Tamil Eelam ( LTTE ) are stalemated .",35,21,0
ewt-train-259_5_4,ewt-train-259,"For that reason , he said , Kumaratunga 's government was keen to beef up military preparedness with Indian support .",5,4,0
ewt-train-259_13_16,ewt-train-259,"For that reason , he said , Kumaratunga 's government was keen to beef up military preparedness with Indian support .",13,16,0
ewt-train-261_12_14,ewt-train-261,"And the Tigers look as if they are on the brink of launching another offensive , "" Muni told IPS .",12,14,0
ewt-train-261_18_17,ewt-train-261,"And the Tigers look as if they are on the brink of launching another offensive , "" Muni told IPS .",18,17,0
ewt-train-261_18_19,ewt-train-261,"And the Tigers look as if they are on the brink of launching another offensive , "" Muni told IPS .",18,19,0
ewt-train-262_1_0,ewt-train-262,Colombo held six rounds of talks with the Tigers between September 2002 and March 2003 .,1,0,0
ewt-train-262_1_3,ewt-train-262,Colombo held six rounds of talks with the Tigers between September 2002 and March 2003 .,1,3,0
ewt-train-264_4_3,ewt-train-264,Kumaratunga 's India tour preceded a three - day visit to Sri Lanka by Norwegian Foreign Minister Jan Petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that Oslo successfully brokered in February 2002 .,4,3,0
ewt-train-264_4_9,ewt-train-264,Kumaratunga 's India tour preceded a three - day visit to Sri Lanka by Norwegian Foreign Minister Jan Petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that Oslo successfully brokered in February 2002 .,4,9,0
ewt-train-264_24_27,ewt-train-264,Kumaratunga 's India tour preceded a three - day visit to Sri Lanka by Norwegian Foreign Minister Jan Petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that Oslo successfully brokered in February 2002 .,24,27,0
ewt-train-264_30_27,ewt-train-264,Kumaratunga 's India tour preceded a three - day visit to Sri Lanka by Norwegian Foreign Minister Jan Petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that Oslo successfully brokered in February 2002 .,30,27,0
ewt-train-264_32_34,ewt-train-264,Kumaratunga 's India tour preceded a three - day visit to Sri Lanka by Norwegian Foreign Minister Jan Petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that Oslo successfully brokered in February 2002 .,32,34,0
ewt-train-264_38_34,ewt-train-264,Kumaratunga 's India tour preceded a three - day visit to Sri Lanka by Norwegian Foreign Minister Jan Petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that Oslo successfully brokered in February 2002 .,38,34,0
